Electricity Generation TWh,Unit,Value,YOY(%),Accumulation ,YOY(%),Month
Electricity Generation,TWh,1242.8,19.5,,,February
-- Hydro,TWh,129.2,8.5,,,February
-- Thermal,TWh,939.0,18.4,,,February
-- Nuclear,TWh,58.4,23.4,,,February
Total Electricity Consumption,TWh,1258.8,22.2,,,February
-- Primary Industry,TWh,14.2,26.5,,,February
-- Secondary Industry,TWh,801.2,25.8,,,February
Including: Industrial,TWh,784.3,25.7,,,February
-- Tertiary Industry,TWh,231.3,22.5,,,February
-- Residential,TWh,212.1,10.0,,,February
Installed Generation Capacity,GW,2219.57,9.0,,,February
-- Hydro,GW,370.26,3.5,,,February
-- Thermal,GW,1256.02,4.0,,,February
-- Nuclear,GW,51.04,4.7,,,February
-- Wind,GW,284.56,34.3,,,February
--Solar,GW,257.28,23.2,,,February
Electricity Generation,TWh,657.9,17.4,"1,905.1",19.0,March
-- Hydro,TWh,67.0,-11.5,195.9,0.5,March
-- Thermal,TWh,495.3,25.7,"1,437.9",21.1,March
-- Nuclear,TWh,34.2,11.7,92.6,18.8,March
Total Electricity Consumption,TWh,663.1,19.4,"1,921.9",21.2,March
-- Primary Industry,TWh,6.8,26.5,21.0,26.4,March
-- Secondary Industry,TWh,461.5,21.2,"1,262.5",24.1,March
Including: Industrial,TWh,454.7,20.8,"1,238.8",23.9,March
-- Tertiary Industry,TWh,101.8,42.9,333.1,28.2,March
-- Residential,TWh,93.0,-5.3,305.3,4.7,March
Installed Generation Capacity,GW,,,"2,228.50",9.4,March
-- Hydro,GW,,,371.32,3.7,March
-- Thermal,GW,,,"1,260.00",4.2,March
-- Nuclear,GW,,,51.04,4.7,March
-- Wind,GW,,,286.61,34.9,March
--Solar,GW,,,259.13,24.0,March
Electricity Generation,TWh,623.0,11.0,"2,527.6",16.8,April
-- Hydro,TWh,77.6,3.3,272.7,1.1,April
-- Thermal,TWh,451.7,12.5,"1,890.1",18.9,April
-- Nuclear,TWh,32.4,5.2,125.0,14.9,April
Total Electricity Consumption,TWh,636.1,13.2,"2,558.1",19.1,April
-- Primary Industry,TWh,72.0,16.4,28.3,23.8,April
-- Secondary Industry,TWh,445.1,12.3,"1,707.4",20.7,April
Including: Industrial,TWh,437.1,12.1,"1,675.7",20.5,April
